1	Skopski	     429
2	Jugozapaden	     692
3	Jugoistocen	      325
4	Poloski	      93
5	Severoistocen	      15
6	Istocen	      47
7	Vardarski	      181
8	Pelagoniski	      482
9	Vkupno	      2264
